case,leverage,median_twr_cagr,p05_twr_cagr,median_terminal_equity,median_withdrawn,p_unpaid_withdrawal,p_liquidation,p_ruin,worst_ruin_deficit,median_max_drawdown,geometric_twr_cagr
mean_minus_2pp,1.5,0.10259779019029791,-0.05207472408954451,132783.3446166279,0.0,0.0,0.0,0.0,0.0,-0.5219355581253597,0.10111720595729225
mean_minus_2pp,1.75,0.100966030943348,-0.07914314254156844,130831.4252102077,0.0,0.0,0.0,0.0,0.0,-0.5898416944485791,0.10060564564236332
mean_minus_2pp,2.0,0.09801647574228178,-0.10611234488798042,127367.49116391162,0.0,0.0,0.0,0.0,0.0,-0.6554169320585075,0.09731933577613262
mean_minus_4pp,1.0,0.07357514859480152,-0.03094271983492328,101693.81045842136,0.0,0.0,0.0,0.0,0.0,-0.3768475625801373,0.07326582682419644
mean_minus_4pp,1.25,0.07420391833180096,-0.05688353172598377,102291.08932908627,0.0,0.0,0.0,0.0,0.0,-0.46546844224156564,0.07232028467021513
mean_minus_4pp,1.5,0.07015860521863981,-0.08028383575563708,98503.958509935,0.0,0.0,0.0,0.0,0.0,-0.5470557509505656,0.06909075762419273
mean_minus_4pp,1.75,0.06440631495950921,-0.1068503474096793,93335.04875961594,0.0,0.0,0.0,0.0,0.0,-0.6219939049959482,0.06344317332874175
mean_minus_4pp,2.0,0.0551217840247189,-0.14045834423555417,85505.88402278912,0.0,0.0,0.0,0.0,0.0,-0.6912169268697606,0.05470448811737247
withdraw_1000_monthly,1.0,0.11726650379365278,0.008523532025090185,193.26099851865104,67000.0,0.947265625,0.0,0.0,0.0,-0.3396011716867139,0.11694756153886915
withdraw_1000_monthly,1.25,0.12804653198379745,-0.009317385685048734,259.8412585732797,70000.0,0.865234375,0.453125,0.0,0.0,-0.430231539106756,0.12732203969348002
withdraw_1000_monthly,1.5,0.1372938108060302,-0.025801490246587643,265.98388274396154,71500.0,0.806640625,0.626953125,0.0078125,0.3929569773017059,-0.5045222671930852,0.1345944266644406
withdraw_1000_monthly,1.75,0.1380031788533117,-0.04439839985124906,267.0278627129857,72000.0,0.76953125,0.73828125,0.0078125,0.5412469865341504,-0.5698283235303141,0.13911292775787826
withdraw_1000_monthly,2.0,0.14026097941725602,-0.07118836359705312,251.41183178190084,73000.0,0.73046875,0.978515625,0.009765625,0.875289937680871,-0.6300299150579639,0.13986704285965038
