leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,max_leverage_reached,schedule
3.0,537486.8298510846,0.13534286605433077,0.5931091763073104,0.22819216336690926,-0.9993098077291144,0.13543634317158482,68.0317291209593,-0.7220414852137358,8939,False,monthly,8678575205.287695,86785.75205287695,0.0,12832870.38743217,117,1248,389990183456.8439,77998036.69136876,-1,4.000000000000001,monthly
1.0,110157.7711531725,0.1181626329950598,0.1885171506872527,0.6268004399827257,-0.7875299305368018,0.15004208527606938,24.342559525233288,-0.18540761761143942,4821,False,quarterly,0.0,0.0,0.0,0.0,0,416,0.0,0.0,-1,1.0,quarterly
1.25,359627.63186675817,0.13096242438346506,0.23818977586557105,0.5498238700949839,-0.8684094299614864,0.15080723431259055,31.25846215857082,-0.24812381217165103,6111,False,quarterly,1264352931.476249,12643.52931476249,0.0,0.0,0,416,12553252835.60017,2510650.5671200347,-1,1.4879338127574524,quarterly
1.5,948668.5532215307,0.14156534716848945,0.2899908330394741,0.48817180075902367,-0.9211516037907579,0.1536830056919126,38.02705389396522,-0.3202426451788829,6277,False,quarterly,5649718349.277237,56497.18349277237,0.0,0.0,0,416,65080567723.372215,13016113.544674441,-1,2.204617446398093,quarterly
1.75,1941983.1070060495,0.14946011263614478,0.345087263863072,0.43310816795443785,-0.9545046622043817,0.1565839524460509,44.11760339714451,-0.40407545133809486,6634,False,quarterly,15182208899.225777,151822.08899225778,0.0,0.0,0,416,196409044656.6019,39281808.93132039,-1,3.3605742216943373,quarterly
2.0,2528942.3708893107,0.1523841457263082,0.4032610558145708,0.37787964775943583,-0.9773246596794744,0.15591967747573715,50.663360071867054,-0.5029613457783293,7209,False,quarterly,23543859060.539608,235438.59060539608,0.0,70745.59321346131,4,416,335627718343.5731,67125543.66871461,-1,4.000000000000001,quarterly
2.25,1952387.3882296379,0.14951919978721695,0.45938438040960616,0.3254773260986789,-0.9894654893093008,0.1511110810864048,56.47947074970212,-0.6219001736574561,7446,False,quarterly,20812557283.585735,208125.57283585734,0.0,6712763.524882289,14,416,321010150950.1023,64202030.19002047,-1,4.000000000000001,quarterly
2.5,784322.1146017512,0.13947803849125728,0.5113922877799814,0.27274177148182877,-0.996570688698199,0.13995799803569856,61.738132939361925,-0.7448512492583388,7735,False,quarterly,9399496105.55309,93994.96105553089,0.0,8390115.90754864,63,416,157542446562.8593,31508489.312571853,-1,4.000000000000001,quarterly
2.75,334906.3995266673,0.13018783482572105,0.5553054120647043,0.23444366288753465,-0.9988679075073964,0.1303353865383417,65.79825093493476,-0.7448691977196176,8883,False,quarterly,4633820800.851514,46338.20800851514,0.0,13344335.422976268,135,416,88792152587.33621,17758430.517467245,-1,4.000000000000001,quarterly
3.0,186992.08427077523,0.12386918742356245,0.5938667119849754,0.2085807891294912,-0.9995465538140738,0.12392538091487776,69.08261609366326,-0.7448698108699917,9061,False,quarterly,2869057474.3722134,28690.574743722133,0.0,13312603.606664354,279,416,61073424039.54478,12214684.807908954,-1,4.000000000000001,quarterly
1.0,110157.7711531725,0.1181626329950598,0.1885171506872527,0.6268004399827257,-0.7875299305368018,0.15004208527606938,24.342559525233288,-0.18540761761143942,4821,False,band,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,1.0,band
1.25,109833.56767248226,0.1181309283163714,0.200376409959473,0.5895450883677569,-0.857315419327245,0.13779167579777282,28.255586330649887,-0.18629457711540343,6094,False,band,1554321.173622203,15.54321173622203,0.0,0.0,0,1,17924.1183933344,3.58482367866688,-1,1.5667901170264176,band
1.5,301465.1179792662,0.1290446526328335,0.25319530160167236,0.5096644835686839,-0.8979318398442803,0.14371319392707188,35.65903858889524,-0.22212707685291067,6362,False,band,1203179605.8428648,12031.796058428648,0.0,0.0,0,14,9218789735.484612,1843757.9470969222,-1,1.9509420080686566,band
1.75,776564.8977286617,0.1393690864499848,0.30739928979308156,0.45338128966985497,-0.9494309169118749,0.14679223518789297,43.029914216631475,-0.3327243952666127,7127,False,band,4940081796.730657,49400.81796730657,0.0,0.0,0,30,32416585724.997704,6483317.14499954,-1,2.3051994346684035,band
