leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,ruin_deficit,terminal_net_equity,withdrawals_paid,withdrawal_failures,final_leverage,max_leverage_reached,episode,schedule,start,end
1.25,0.5173906118309559,-0.1981395979213273,0.3472500894586593,-0.5705962473046854,-0.6469090410524356,-0.3062866420895592,38.301519131474585,-0.09922359024650707,694,False,never,4472.574131274597,0.04472574131274597,0.0,0.0,0,0,0.0,0.0,-1,0.0,51739.06118309559,0.0,0,1.5696387498601152,1.7363435750618528,dot-com bust,never,2000-01-03,2002-12-31
1.5,0.3850881411469509,-0.27369579406238187,0.5029254405358158,-0.544207494794431,-0.7881162581273272,-0.3472784519288065,46.93303946226025,-0.12290503911454731,694,False,never,8945.148262549194,0.08945148262549193,0.0,0.0,0,0,0.0,0.0,-1,0.0,38508.81411469509,0.0,0,2.530692378295168,3.410585280944546,dot-com bust,never,2000-01-03,2002-12-31
1.75,0.22240951374731185,-0.395735717821619,0.6362275278705517,-0.6220034507877129,-0.8868943495027763,-0.4462039002091761,55.46160453322722,-0.14813267582327028,694,False,never,12703.683040332124,0.12703683040332123,0.0,47.8974231784239,11,0,0.0,0.0,-1,0.0,22240.951374731187,0.0,0,2.7919268206469963,4.000000000000001,dot-com bust,never,2000-01-03,2002-12-31
2.0,0.15683212447704234,-0.4624917412344488,0.7055489137110762,-0.6555062763853112,-0.9216111391123507,-0.5018295912524424,62.2135564811649,-0.17505922872428425,694,False,never,15007.746615880298,0.150077466158803,0.0,86.99156916610026,24,0,0.0,0.0,-1,0.0,15683.212447704234,0.0,0,2.7919268206469967,4.000000000000001,dot-com bust,never,2000-01-03,2002-12-31
2.25,0.12719268993184826,-0.4989286737911096,0.7568736642550616,-0.6591967687000585,-0.9375124186134389,-0.5321835357968,66.54506085643558,-0.20376641252543914,694,False,never,16293.087536099572,0.16293087536099574,0.0,118.61970799618422,31,0,0.0,0.0,-1,0.0,12719.268993184825,0.0,0,2.7919268206469976,4.000000000000001,dot-com bust,never,2000-01-03,2002-12-31
2.5,0.1114816620894909,-0.5205848109886296,0.8058376568089848,-0.64601698194408,-0.9461514334586578,-0.5502129918945756,69.30012475861929,-0.2345210707463693,694,False,never,17424.361505496952,0.17424361505496952,0.0,147.59525873338384,38,0,0.0,0.0,-1,0.0,11148.16620894909,0.0,0,2.791926820646998,4.000000000000001,dot-com bust,never,2000-01-03,2002-12-31
2.75,0.10195928382808804,-0.5347166802078264,0.8269980884661638,-0.6465754729851518,-0.9515649983332071,-0.5619339521151513,71.42925764623506,-0.2678222443611341,694,False,never,17280.962128541152,0.17280962128541152,0.0,174.18478938737758,43,0,0.0,0.0,-1,0.0,10195.928382808805,0.0,0,2.791926820647001,4.000000000000001,dot-com bust,never,2000-01-03,2002-12-31
3.0,0.09325868660050135,-0.5484183290297597,0.838975629822778,-0.6536761135071415,-0.9564184844767737,-0.573408333204457,73.53393020609283,-0.30395776703743094,694,False,never,16664.68655672616,0.1666468655672616,0.0,200.15356594489592,43,0,0.0,0.0,-1,0.0,9325.868660050135,0.0,0,2.791926820646999,4.000000000000001,dot-com bust,never,2000-01-03,2002-12-31
1.0,0.6295677233785418,-0.264840133271139,0.31572375726996554,-0.8388349852452898,-0.47663883129819606,-0.5556411183491028,21.822164641957293,-0.0840423651138289,207,False,monthly,9.818613459911493e-14,9.818613459911493e-19,0.0,0.0,0,19,8.731149137020111e-11,1.7462298274040224e-14,-1,0.0,62956.77233785418,0.0,0,1.0,1.0000000000000002,global financial crisis,monthly,2007-10-01,2009-04-01
1.25,0.5417199823892099,-0.3347500287431566,0.4038387528007023,-0.8289200241967825,-0.5641280547552221,-0.5933936912398485,26.570359553431903,-0.10966548264228759,207,False,monthly,1254.8645137832652,0.012548645137832652,0.0,0.0,0,19,27473.50892923543,5.494701785847086,-1,0.0,54171.998238921,0.0,0,1.2499999999999998,1.3683681506842837,global financial crisis,monthly,2007-10-01,2009-04-01
1.5,0.46154275382350063,-0.40195763875338153,0.4975854043144535,-0.8078163773858624,-0.6398548188773214,-0.6282013151962341,30.97429933185996,-0.1376253796878465,207,False,monthly,2451.8487889529056,0.024518487889529057,0.0,0.0,0,19,63218.23200602711,12.643646401205421,-1,0.0,46154.27538235006,0.0,0,1.5,1.8137985664397651,global financial crisis,monthly,2007-10-01,2009-04-01
1.75,0.3889657658179275,-0.4662609992611285,0.5986550031500083,-0.7788475780002709,-0.7050628440399079,-0.6613041705467282,35.059811094917336,-0.16825699384802772,207,False,monthly,3591.507935773903,0.03591507935773903,0.0,0.0,0,19,106038.91754653622,21.207783509307248,-1,0.0,38896.57658179275,0.0,0,1.7499999999999998,2.3632981887457616,global financial crisis,monthly,2007-10-01,2009-04-01
2.0,0.32386182533681596,-0.5274644823516779,0.709555488604188,-0.743373127011232,-0.7608883460573803,-0.6932219228810486,38.850136254689716,-0.2019624845666581,207,False,monthly,4668.792411489705,0.04668792411489705,0.0,0.0,0,19,154833.82762524424,30.96676552504885,-1,0.0,32386.182533681596,0.0,0,2.0000000000000004,3.0581628298928525,global financial crisis,monthly,2007-10-01,2009-04-01
2.25,0.2661720797798037,-0.5852502370674393,0.8342048947728451,-0.7015665344744874,-0.8083339975996429,-0.7240203168558376,42.35917863314245,-0.23922898824294803,207,False,monthly,5629.470146644239,0.056294701466442394,0.0,0.0,0,19,208667.8671953198,41.733573439063946,-1,0.0,26617.20797798037,0.0,0,2.2499999999999996,3.9648676271977203,global financial crisis,monthly,2007-10-01,2009-04-01
2.5,0.2081964361741194,-0.6477526971263194,0.9339006894101163,-0.6935991208395641,-0.8535023629286324,-0.7589348609459946,46.022738845853915,-0.26810157092452,207,False,monthly,6479.227563007562,0.06479227563007561,0.0,29.94198335092105,5,19,237442.11263212882,47.48842252642577,-1,0.0,20819.64361741194,0.0,0,2.5,4.000000000000001,global financial crisis,monthly,2007-10-01,2009-04-01
2.75,0.16609211618725997,-0.6968873253705702,1.0021291414031526,-0.695406706160454,-0.885767465403681,-0.7867610322004429,48.98713783154244,-0.2681043238544203,358,False,monthly,7268.300425292661,0.0726830042529266,0.0,54.85576309577436,6,19,273643.56565618503,54.728713131237,-1,0.0,16609.211618725996,0.0,0,2.75,4.000000000000001,global financial crisis,monthly,2007-10-01,2009-04-01
